torneo,anno,tipo,sezione,turni,rango,nome,fed,rating,punti,performance,gio,nato,std,eta
137973,2014,rapid,open,,48,Dreev Aleksey,RUS,2709.0,8.0,2672.0,aleksey dreev,1969.0,2577.0,45.0
137973,2014,rapid,open,,49,Ragger Markus,AUT,2701.0,8.0,2647.0,markus ragger,1988.0,2573.0,26.0
137973,2014,rapid,open,,50,Lu Shanglei,CHN,2536.0,8.0,2593.0,lu shanglei,1995.0,2637.0,19.0
137973,2014,rapid,open,,51,Milov Vadim,SUI,2664.0,8.0,2609.0,milov vadim,1972.0,2581.0,42.0
137973,2014,rapid,open,,52,Harikrishna P.,IND,2726.0,7.5,2665.0,harikrishna p.,,,
137973,2014,rapid,open,,53,Volokitin Andrei,UKR,2638.0,7.5,2648.0,andrei volokitin,1986.0,2618.0,28.0
137973,2014,rapid,open,,54,Mamedyarov Shakhriyar,AZE,2799.0,7.5,2640.0,mamedyarov shakhriyar,1985.0,2720.0,29.0
137973,2014,rapid,open,,55,Wojtaszek Radoslaw,POL,2710.0,7.5,2648.0,radoslaw wojtaszek,1987.0,2658.0,27.0
137973,2014,rapid,open,,56,Polgar Judit,HUN,2656.0,7.5,2613.0,judit polgar,1976.0,2675.0,38.0
137973,2014,rapid,open,,57,Malakhov Vladimir,RUS,2766.0,7.5,2636.0,malakhov vladimir,1980.0,2597.0,34.0
137973,2014,rapid,open,,58,Inarkiev Ernesto,RUS,2681.0,7.5,2630.0,ernesto inarkiev,1985.0,2637.0,29.0
137973,2014,rapid,open,,59,Hansen Eric,CAN,2584.0,7.5,2600.0,eric hansen,1992.0,2609.0,22.0
137973,2014,rapid,open,,60,Ganguly Surya Shekhar,IND,2637.0,7.5,2589.0,ganguly shekhar surya,1983.0,2562.0,31.0
137973,2014,rapid,open,,61,Onischuk Vladimir,UKR,2675.0,7.5,2587.0,onischuk vladimir,,,
137973,2014,rapid,open,,62,Kasimdzhanov Rustam,UZB,2693.0,7.5,2573.0,kasimdzhanov rustam,1979.0,2665.0,35.0
137973,2014,rapid,open,,63,Kovalev Vladislav,BLR,2547.0,7.5,2540.0,kovalev vladislav,1994.0,2565.0,20.0
137973,2014,rapid,open,,64,Savchenko Boris,RUS,2626.0,7.5,2506.0,boris savchenko,1986.0,2466.0,28.0
137973,2014,rapid,open,,65,Amin Bassem,EGY,2624.0,7.0,2653.0,amin bassem,1988.0,2608.0,26.0
137973,2014,rapid,open,,66,Bologan Viktor,MDA,2656.0,7.0,2630.0,bologan viktor,,,
137973,2014,rapid,open,,67,Laznicka Viktor,CZE,2679.0,7.0,2597.0,laznicka viktor,1988.0,2585.0,26.0
137973,2014,rapid,open,,68,Safarli Eltaj,AZE,2662.0,7.0,2613.0,eltaj safarli,1992.0,2616.0,22.0
137973,2014,rapid,open,,69,Anton Guijarro David,ESP,2600.0,7.0,2613.0,anton david guijarro,1995.0,2632.0,19.0
137973,2014,rapid,open,,70,Debashis Das,IND,2484.0,7.0,2621.0,das debashis,1962.0,1497.0,52.0
137973,2014,rapid,open,,71,Lenic Luka,SLO,2659.0,7.0,2598.0,lenic luka,1988.0,2626.0,26.0
137973,2014,rapid,open,,72,Ringoir Tanguy,BEL,2504.0,7.0,2580.0,ringoir tanguy,1994.0,2529.0,20.0
137973,2014,rapid,open,,73,Aleksandrov Aleksej,BLR,2589.0,7.0,2586.0,aleksandrov aleksej,1973.0,2444.0,41.0
137973,2014,rapid,open,,74,Ghaem Maghami Ehsan,IRI,2542.0,7.0,2565.0,ehsan ghaem maghami,1982.0,2442.0,32.0
137973,2014,rapid,open,,75,Shyam Sundar M.,IND,2447.0,7.0,2547.0,m. shyam sundar,1992.0,2498.0,22.0
137973,2014,rapid,open,,76,Maletin Pavel,RUS,2658.0,7.0,2537.0,maletin pavel,1986.0,2562.0,28.0
137973,2014,rapid,open,,77,Vahidov Tair,UZB,2487.0,7.0,2534.0,tair vahidov,1963.0,2247.0,51.0
137973,2014,rapid,open,,78,Mchedlishvili Mikheil,GEO,2641.0,7.0,2477.0,mchedlishvili mikheil,1979.0,2550.0,35.0
137973,2014,rapid,open,,79,Andriasian Zaven,ARM,2568.0,6.5,2566.0,andriasian zaven,1989.0,2528.0,25.0
137973,2014,rapid,open,,80,Glek Igor,GER,2455.0,6.5,2564.0,glek igor,1961.0,2424.0,53.0
137973,2014,rapid,open,,81,Vakhidov Jahongir,UZB,2368.0,6.5,2570.0,jahongir vakhidov,,,
137973,2014,rapid,open,,82,Michalik Peter,SVK,2501.0,6.5,2552.0,michalik peter,1990.0,2543.0,24.0
137973,2014,rapid,open,,83,Gundavaa Bayarsaikhan,MGL,2534.0,6.5,2542.0,bayarsaikhan gundavaa,1989.0,2468.0,25.0
137973,2014,rapid,open,,84,Korobov Anton,UKR,2770.0,6.5,2511.0,anton korobov,1985.0,2610.0,29.0
137973,2014,rapid,open,,85,Kayumov Sergey,UZB,2486.0,6.5,2493.0,kayumov sergey,1981.0,2505.0,33.0
137973,2014,rapid,open,,86,Fier Alexandr,BRA,2597.0,6.5,2485.0,alexandr fier,1988.0,2537.0,26.0
137973,2014,rapid,open,,87,Goloshchapov Alexander,UKR,2574.0,6.5,2434.0,alexander goloshchapov,1978.0,2578.0,36.0
137973,2014,rapid,open,,88,Nezad Husein Aziz,QAT,2350.0,6.5,2385.0,aziz husein nezad,,,
137973,2014,rapid,open,,89,Ipatov Alexander,TUR,2596.0,6.0,2571.0,alexander ipatov,1994.0,2095.0,20.0
137973,2014,rapid,open,,90,Durarbayli Vasif,AZE,2550.0,6.0,2579.0,durarbayli vasif,1992.0,2611.0,22.0
137973,2014,rapid,open,,91,Sokolov Ivan,NED,2650.0,6.0,2514.0,ivan sokolov,1968.0,2559.0,46.0
137973,2014,rapid,open,,92,Georgiev Kiril,BUL,2642.0,6.0,2496.0,georgiev kiril,1965.0,2520.0,49.0
137973,2014,rapid,open,,93,Salem A.R. Saleh,UAE,2592.0,6.0,2506.0,a.r. saleh salem,1993.0,2616.0,21.0
137973,2014,rapid,open,,94,Sandipan Chanda,IND,2628.0,6.0,2479.0,chanda sandipan,1983.0,2470.0,31.0
137973,2014,rapid,open,,95,Al-Modiahki Mohamad,QAT,2569.0,6.0,2465.0,al-modiahki mohamad,,,
